Table with row headers in column B and NAICS codes in column A with column headers in row 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Annual Sales of U.S. Retail Firms by Kind of Business: 1992-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Estimates are shown in millions of dollars and are based on data from the Annual Retail Trade Survey.  Estimates have been adjusted using final results of the 2012 Economic Census.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAICS Code,Kind of business,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Retail sales, total ………………………………………...…………………………………………………………………………………………………","4,856,334","4,725,993","4,639,440","4,458,450","4,302,229","4,102,952","3,818,048","3,612,471","3,935,315","3,995,182","3,871,573","3,689,283","3,473,048","3,262,731","3,128,552","3,062,268","2,983,276","2,803,090","2,581,762","2,468,767","2,361,549","2,217,616","2,105,235","1,937,628","1,811,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Retail sales, total (excl. motor vehicle and parts dealers) ………………………………………...…………………………………………………………………………………………………","3,711,915","3,631,881","3,618,589","3,499,156","3,415,735","3,290,014","3,075,135","2,940,699","3,149,450","3,085,043","2,971,576","2,800,976","2,606,676","2,421,143","2,309,741","2,246,689","2,187,066","2,038,886","1,893,347","1,814,950","1,734,042","1,637,901","1,564,094","1,464,712","1,392,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GAFO1 ………………………………………...…………………………………………………………………………………………………,"1,263,474","1,258,154","1,238,694","1,212,493","1,191,843","1,155,666","1,114,374","1,088,197","1,136,376","1,143,426","1,110,155","1,059,599","1,003,891","946,114","912,707","882,700","862,739","815,665","757,936","713,387","682,613","650,040","616,347","570,782","533,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,    Motor vehicle and parts dealers ………………………………………...…………………………………………………………………………………………………,"1,144,419","1,094,112","1,020,851","959,294","886,494","812,938","742,913","671,772","785,865","910,139","899,997","888,307","866,372","841,588","818,811","815,579","796,210","764,204","688,415","653,817","627,507","579,715","541,141","472,916","418,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4411,   Automobile dealers ………………………………………...…………………………………………………………………………………………………,"984,433","940,450","875,566","819,290","752,778","684,505","621,180","551,996","649,505","767,403","760,798","753,071","738,074","722,260","706,682","707,676","687,782","661,820","593,501","564,658","543,949","501,684","468,100","407,126","358,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44111,New car dealers ………………………………………...…………………………………………………………………………………………………,"877,743","842,120","785,142","735,374","672,550","608,788","549,473","486,565","575,593","687,707","685,622","681,947","670,553","659,205","645,759","649,413","630,123","606,167","542,559","518,972","502,340","464,642","435,661","379,522","333,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44112,Used car dealers ………………………………………...…………………………………………………………………………………………………,"106,690","98,330","90,424","83,916","80,228","75,717","71,707","65,431","73,912","79,696","75,176","71,124","67,521","63,055","60,923","58,263","57,659","55,653","50,942","45,686","41,609","37,042","32,439","27,604","24,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4412,Other motor vehicle dealers ………………………………………...…………………………………………………………………………………………………,"69,480","64,382","59,531","54,996","49,581","45,469","43,794","45,550","60,042","68,001","66,924","65,171","61,515","55,112","49,507","46,811","44,989","39,735","34,915","30,615","27,994","26,128","23,801","20,980","18,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4413,"Automotive parts, access., and tire stores ………………………………………...…………………………………………………………………………………………………","90,506","89,280","85,754","85,008","84,135","82,964","77,939","74,226","76,318","74,735","72,275","70,065","66,783","64,216","62,622","61,092","63,439","62,649","59,999","58,544","55,564","51,903","49,240","44,810","41,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Furniture and home furnishings stores ………………………………………...…………………………………………………………………………………………………,"111,468","106,570","99,718","95,349","91,542","87,586","85,205","84,749","98,720","111,144","112,795","109,120","103,757","96,736","94,438","91,484","91,170","84,294","77,412","72,715","67,707","63,470","60,416","55,456","52,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4421,Furniture stores ………………………………………...…………………………………………………………………………………………………,"59,534","57,309","53,276","50,886","49,752","47,658","46,664","45,810","52,708","59,288","60,122","58,745","55,849","51,719","51,264","50,572","50,617","47,022","44,110","41,877","39,168","36,977","35,503","33,299","31,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4422,Home furnishings stores ………………………………………...…………………………………………………………………………………………………,"51,934","49,261","46,442","44,463","41,790","39,928","38,541","38,939","46,012","51,856","52,673","50,375","47,908","45,017","43,174","40,912","40,553","37,272","33,302","30,838","28,539","26,493","24,913","22,157","20,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44221,Floor covering stores …………………………………………………………………………………………………………………………………………………,"20,254","19,006","17,703","16,746","15,483","14,758","14,573","15,302","18,764","22,071","23,154","22,125","20,907","19,543","19,025","19,208","19,519","18,409","16,961","16,050","14,639","13,704","12,765","11,460","10,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44229,Other home furnishings stores …………………………………………………………………………………………………………………………………………………,"31,680","30,255","28,739","27,717","26,307","25,170","23,968","23,637","27,248","29,785","29,519","28,250","27,001","25,474","24,149","21,704","21,034","18,863","16,341","14,788","13,900","12,789","12,148","10,697","10,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442299,All other home furnishings stores ………………………………………...………………….………………………………………………………………,"29,758","28,617","27,248","26,431","25,195","24,080","22,868","22,468","25,696","28,063","27,724","26,579","25,579","24,213","22,897","20,547","19,916","17,761","15,288","13,791","12,851","11,763","11,189","9,787","9,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Electronics and appliance stores ………………………………………...…………………………………………………………………………………………………,"98,780","103,658","105,197","104,699","103,882","101,978","99,589","97,899","108,384","110,341","110,091","106,122","100,013","92,850","91,208","88,493","90,422","87,363","82,731","77,657","76,060","72,379","64,370","55,132","48,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4431,Electronics and appliance stores ………………………………………...…………………………………………………………………………………………………,"98,780","103,658","105,197","104,699","103,882","101,978","99,589","97,899","108,384","110,341","110,091","106,122","100,013","92,850","91,208","88,493","90,422","87,363","82,731","77,657","76,060","72,379","64,370","55,132","48,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44314,Electronics and appliance stores ………………………………………...…………………………………………………………………………………………………,"98,780","103,658","105,197","104,699","103,882","101,978","99,589","97,899","108,384","110,341","110,091","106,122","100,013","92,850","91,208","88,493","90,422","87,363","82,731","77,657","76,060","72,379","64,370","55,132","48,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443141,Household appliance stores ………………………………………...…………………………………………………………………………………………………,"17,199","17,122","17,089","17,140","16,415","15,807","15,456","15,289","16,988","17,799","17,745","16,792","15,608","14,464","14,205","13,479","12,630","12,082","11,099","10,374","10,215","9,980","9,045","9,137","8,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443142,Electronics stores ………………………………………...…………………………………………………………………………………………………,"81,581","86,536","88,108","87,559","87,467","86,171","84,133","82,610","91,396","92,542","92,346","89,330","84,405","78,386","77,003","75,014","77,792","75,281","71,632","67,283","65,845","62,399","55,325","45,995","40,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Building mat. and garden equip. and supplies dealers ………………………………………...…………………………………………………………………………………………………,"349,285","331,611","318,352","301,797","281,533","269,480","260,566","261,637","301,833","320,854","334,130","320,802","295,274","263,463","248,539","239,379","228,994","218,290","202,423","191,063","176,683","164,561","157,228","140,964","130,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4441,Building mat. and supplies dealers ………………………………………...…………………………………………………………………………………………………,"304,622","287,582","274,116","259,545","242,176","232,649","225,712","227,474","263,082","283,847","299,382","286,604","261,200","230,971","217,184","207,020","197,649","187,916","172,201","162,068","150,453","141,028","135,099","120,426","110,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44412,Paint and wallpaper stores ………………………………………...…………………………………………………………………………………………………,"11,449","10,711","10,300","9,451","9,134","8,423","7,972","7,956","9,415","10,166","10,332","9,842","8,880","8,478","8,096","8,589","8,863","8,713","8,513","7,691","7,038","6,455","5,751","5,153","4,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
